"","album_num_tracks","weeks_on_chart","streams","danceability","energy","key","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration","days_since_release"
"album_num_tracks",1,0.143408751105101,-0.140458046434798,0.0277088767963697,0.00512511899194396,-0.0587043378904821,-0.0145844322731742,-0.0631983276446636,-0.00541412248909181,0.0029776568340432,-0.0738428262287377,0.0555553327323637,-0.0017723058104904,0.195913735762933,0.436971596324039
"weeks_on_chart",0.143408751105101,1,-0.214810843233898,0.017745688339532,-0.0729053188799786,-0.0200528878536828,-0.0628986485190559,0.0111423053083498,0.0959612149985051,-0.0127760583338621,0.0100640376804451,-0.0201443483529255,0.00786509901213725,0.0651903563820435,0.114178710889826
"streams",-0.140458046434798,-0.214810843233898,1,0.0490980821165719,-0.00571931819027855,0.0431405426903869,0.0299927261042859,0.00966661855409105,0.0331209285860362,-0.0654103457440832,0.00151006776371891,0.0102569956739198,-0.0123270081294995,-0.0847652708197246,-0.163981367107836
"danceability",0.0277088767963697,0.017745688339532,0.0490980821165719,1,0.0139114789440046,0.0693015227173729,0.0925737362523348,0.3279295326677,-0.296046529246745,-0.161789104086506,0.0175551327474792,0.322198567375302,-0.155789275665891,-0.204096375301378,-0.082209441485528
"energy",0.00512511899194396,-0.0729053188799786,-0.00571931819027855,0.0139114789440046,1,0.0255841156695015,0.690468828196585,-0.11854572438529,-0.45625143780197,0.0144071837586389,0.0939850434278894,0.396853682231921,0.126970908320119,-0.0175014759995503,0.0942079464636171
"key",-0.0587043378904821,-0.0200528878536828,0.0431405426903869,0.0693015227173729,0.0255841156695015,1,-0.0674333520009587,0.0575491335070493,0.0213752123684541,0.0918755783032223,0.0191161784454402,0.133954140654865,-0.0493023766818845,-0.0248973195733158,-0.0611326167099461
"loudness",-0.0145844322731742,-0.0628986485190559,0.0299927261042859,0.0925737362523348,0.690468828196585,-0.0674333520009587,1,-0.127223963693028,-0.336030154940183,-0.18507119336948,0.0572723076455054,0.29548383265287,0.00831057259614585,-0.100196874711887,-0.0222324967172079
"speechiness",-0.0631983276446636,0.0111423053083498,0.00966661855409105,0.3279295326677,-0.11854572438529,0.0575491335070493,-0.127223963693028,1,-0.125593004370081,-0.107502511345493,-0.063959299222663,-0.0432454165378459,0.100990638570548,-0.173596792295385,-0.153667885367233
"acousticness",-0.00541412248909181,0.0959612149985051,0.0331209285860362,-0.296046529246745,-0.45625143780197,0.0213752123684541,-0.336030154940183,-0.125593004370081,1,0.1029604844902,-0.064559247669699,-0.142014728811512,-0.114023302818064,0.032858407407525,-0.0849876034278365
"instrumentalness",0.0029776568340432,-0.0127760583338621,-0.0654103457440832,-0.161789104086506,0.0144071837586389,0.0918755783032223,-0.18507119336948,-0.107502511345493,0.1029604844902,1,-0.0249301157828002,-0.0646354490692782,0.00256473035040247,0.0424422688977502,0.11318678275186
"liveness",-0.0738428262287377,0.0100640376804451,0.00151006776371891,0.0175551327474792,0.0939850434278894,0.0191161784454402,0.0572723076455054,-0.063959299222663,-0.064559247669699,-0.0249301157828002,1,0.0090801765626834,-0.0664867605622551,-0.0562932350541991,-0.0299187245697266
"valence",0.0555553327323637,-0.0201443483529255,0.0102569956739198,0.322198567375302,0.396853682231921,0.133954140654865,0.29548383265287,-0.0432454165378459,-0.142014728811512,-0.0646354490692782,0.0090801765626834,1,-0.0486018613481448,-0.147385137533082,0.0553211270794541
"tempo",-0.0017723058104904,0.00786509901213725,-0.0123270081294995,-0.155789275665891,0.126970908320119,-0.0493023766818845,0.00831057259614585,0.100990638570548,-0.114023302818064,0.00256473035040247,-0.0664867605622551,-0.0486018613481448,1,-0.00109577452461418,-0.0201881987999603
"duration",0.195913735762933,0.0651903563820435,-0.0847652708197246,-0.204096375301378,-0.0175014759995503,-0.0248973195733158,-0.100196874711887,-0.173596792295385,0.032858407407525,0.0424422688977502,-0.0562932350541991,-0.147385137533082,-0.00109577452461418,1,0.359374727161524
"days_since_release",0.436971596324039,0.114178710889826,-0.163981367107836,-0.082209441485528,0.0942079464636171,-0.0611326167099461,-0.0222324967172079,-0.153667885367233,-0.0849876034278365,0.11318678275186,-0.0299187245697266,0.0553211270794541,-0.0201881987999603,0.359374727161524,1
